Sale Key,City Key,Customer Key,Bill To Customer Key,Stock Item Key,Invoice Date Key,Delivery Date Key,Salesperson Key,WWI Invoice ID,Description,Package,Quantity,Unit Price,Tax Rate,Total Excluding Tax,Tax Amount,Profit,Total Including Tax,Total Dry Items,Total Chiller Items,Lineage Key
64,464,0,0,192,10/23/2013,10/24/2013,85,15267,DBA joke mug - two types of DBAs (White),Each,7,13,15,91,13.65,59.5,104.65,7,0,11
65,464,0,0,194,10/25/2013,10/26/2013,84,15380,DBA joke mug - SELECT caffeine FROM mug (White),Each,7,13,15,91,13.65,59.5,104.65,7,0,11
66,3369,0,0,204,10/28/2013,10/29/2013,81,15551,DBA joke mug - mind if I join you? (White),Each,7,13,15,91,13.65,59.5,104.65,7,0,11
67,2261,0,0,198,11/1/2013,11/2/2013,74,15773,DBA joke mug - it depends (White),Each,7,13,15,91,13.65,59.5,104.65,7,0,11
68,3104,0,0,188,11/8/2013,11/9/2013,1,16085,Developer joke mug - that's a hardware problem (White),Each,7,13,15,91,13.65,59.5,104.65,7,0,11
69,2094,0,0,179,11/9/2013,11/10/2013,9,16149,"Developer joke mug - (hip, hip, array) (Black)",Each,7,13,15,91,13.65,59.5,104.65,7,0,11
70,3369,0,0,197,11/15/2013,11/16/2013,91,16433,DBA joke mug - it depends (Black),Each,7,13,15,91,13.65,59.5,104.65,7,0,11
71,3104,0,0,184,11/27/2013,11/28/2013,74,17096,Developer joke mug - when your hammer is C++ (White),Each,7,13,15,91,13.65,59.5,104.65,7,0,11
72,1871,0,0,174,12/7/2013,12/8/2013,1,17651,Developer joke mug - a foo walks into a bar (White),Each,7,13,15,91,13.65,59.5,104.65,7,0,11
73,127,0,0,197,12/10/2013,12/11/2013,90,17755,DBA joke mug - it depends (Black),Each,7,13,15,91,13.65,59.5,104.65,7,0,11
74,3381,0,0,191,12/12/2013,12/13/2013,81,17840,DBA joke mug - two types of DBAs (Black),Each,7,13,15,91,13.65,59.5,104.65,7,0,11
75,3155,0,0,197,12/13/2013,12/14/2013,9,17862,DBA joke mug - it depends (Black),Each,7,13,15,91,13.65,59.5,104.65,7,0,11
76,2465,0,0,167,12/19/2013,12/20/2013,1,18131,IT joke mug - keyboard not found … press F1 to continue (Black),Each,7,13,15,91,13.65,59.5,104.65,7,0,11
77,28,0,0,167,12/19/2013,12/20/2013,81,18135,IT joke mug - keyboard not found … press F1 to continue (Black),Each,7,13,15,91,13.65,59.5,104.65,7,0,11
78,3155,0,0,187,12/25/2013,12/26/2013,81,18463,Developer joke mug - that's a hardware problem (Black),Each,7,13,15,91,13.65,59.5,104.65,7,0,11
79,127,0,0,198,11/5/2013,11/6/2013,9,15919,DBA joke mug - it depends (White),Each,4,13,15,52,7.8,34,59.8,4,0,11
80,126,0,0,184,11/6/2013,11/7/2013,91,15990,Developer joke mug - when your hammer is C++ (White),Each,4,13,15,52,7.8,34,59.8,4,0,11
81,3104,0,0,194,11/8/2013,11/9/2013,1,16085,DBA joke mug - SELECT caffeine FROM mug (White),Each,4,13,15,52,7.8,34,59.8,4,0,11
82,3381,0,0,174,11/8/2013,11/9/2013,90,16128,Developer joke mug - a foo walks into a bar (White),Each,4,13,15,52,7.8,34,59.8,4,0,11
83,260,0,0,173,12/9/2013,12/10/2013,94,17658,Developer joke mug - a foo walks into a bar (Black),Each,4,13,15,52,7.8,34,59.8,4,0,11
84,1055,0,0,201,12/9/2013,12/10/2013,94,17710,DBA joke mug - daaaaaa-ta (Black),Each,4,13,15,52,7.8,34,59.8,4,0,11
85,3166,0,0,166,12/12/2013,12/13/2013,9,17823,IT joke mug - that behavior is by design (White),Each,4,13,15,52,7.8,34,59.8,4,0,11
86,127,0,0,191,12/24/2013,12/25/2013,1,18339,DBA joke mug - two types of DBAs (Black),Each,4,13,15,52,7.8,34,59.8,4,0,11
87,3155,0,0,170,12/25/2013,12/26/2013,81,18463,Developer joke mug - old C developers never die (White),Each,4,13,15,52,7.8,34,59.8,4,0,11
88,28,0,0,187,12/27/2013,12/28/2013,97,18582,Developer joke mug - that's a hardware problem (Black),Each,4,13,15,52,7.8,34,59.8,4,0,11
89,1198,0,0,195,10/24/2013,10/25/2013,85,15359,DBA joke mug - I will get you in order (Black),Each,8,13,15,104,15.6,68,119.6,8,0,11
90,127,0,0,194,11/1/2013,11/2/2013,81,15809,DBA joke mug - SELECT caffeine FROM mug (White),Each,8,13,15,104,15.6,68,119.6,8,0,11
91,126,0,0,198,11/6/2013,11/7/2013,91,15990,DBA joke mug - it depends (White),Each,8,13,15,104,15.6,68,119.6,8,0,11
92,2261,0,0,193,11/25/2013,11/26/2013,93,16968,DBA joke mug - SELECT caffeine FROM mug (Black),Each,8,13,15,104,15.6,68,119.6,8,0,11
93,260,0,0,168,11/27/2013,11/28/2013,91,17067,IT joke mug - keyboard not found … press F1 to continue (White),Each,8,13,15,104,15.6,68,119.6,8,0,11
94,127,0,0,184,12/10/2013,12/11/2013,90,17755,Developer joke mug - when your hammer is C++ (White),Each,8,13,15,104,15.6,68,119.6,8,0,11
95,1198,0,0,189,12/16/2013,12/17/2013,19,17986,Developer joke mug - Oct 31 = Dec 25 (Black),Each,8,13,15,104,15.6,68,119.6,8,0,11
96,464,0,0,181,12/27/2013,12/28/2013,93,18576,Developer joke mug - inheritance is the OO way to become wealthy (Black),Each,8,13,15,104,15.6,68,119.6,8,0,11
97,2587,0,0,174,10/22/2013,10/23/2013,4,15218,Developer joke mug - a foo walks into a bar (White),Each,3,13,15,39,5.85,25.5,44.85,3,0,11
98,28,0,0,177,10/30/2013,10/31/2013,9,15694,Developer joke mug - understanding recursion requires understanding recursion (Black),Each,3,13,15,39,5.85,25.5,44.85,3,0,11
99,3104,0,0,174,11/21/2013,11/22/2013,91,16798,Developer joke mug - a foo walks into a bar (White),Each,3,13,15,39,5.85,25.5,44.85,3,0,11
100,2587,0,0,201,11/22/2013,11/23/2013,74,16852,DBA joke mug - daaaaaa-ta (Black),Each,3,13,15,39,5.85,25.5,44.85,3,0,11
101,1871,0,0,184,11/22/2013,11/23/2013,84,16859,Developer joke mug - when your hammer is C++ (White),Each,3,13,15,39,5.85,25.5,44.85,3,0,11
102,2261,0,0,196,11/25/2013,11/26/2013,93,16968,DBA joke mug - I will get you in order (White),Each,3,13,15,39,5.85,25.5,44.85,3,0,11
103,260,0,0,196,11/28/2013,11/29/2013,90,17188,DBA joke mug - I will get you in order (White),Each,3,13,15,39,5.85,25.5,44.85,3,0,11
104,3166,0,0,167,12/2/2013,12/3/2013,91,17277,IT joke mug - keyboard not found … press F1 to continue (Black),Each,3,13,15,39,5.85,25.5,44.85,3,0,11
105,3104,0,0,176,12/10/2013,12/11/2013,91,17770,Developer joke mug - there are 10 types of people in the world (White),Each,3,13,15,39,5.85,25.5,44.85,3,0,11
106,464,0,0,181,12/13/2013,12/14/2013,93,17861,Developer joke mug - inheritance is the OO way to become wealthy (Black),Each,3,13,15,39,5.85,25.5,44.85,3,0,11
107,3155,0,0,199,12/16/2013,12/17/2013,90,17957,DBA joke mug - you might be a DBA if (Black),Each,3,13,15,39,5.85,25.5,44.85,3,0,11
108,1198,0,0,195,12/24/2013,12/25/2013,94,18349,DBA joke mug - I will get you in order (Black),Each,3,13,15,39,5.85,25.5,44.85,3,0,11
109,3155,0,0,187,12/30/2013,12/31/2013,4,18667,Developer joke mug - that's a hardware problem (Black),Each,3,13,15,39,5.85,25.5,44.85,3,0,11
110,292,0,0,197,11/4/2013,11/5/2013,81,15867,DBA joke mug - it depends (Black),Each,1,13,15,13,1.95,8.5,14.95,1,0,11
111,859,0,0,166,11/22/2013,11/23/2013,89,16873,IT joke mug - that behavior is by design (White),Each,1,13,15,13,1.95,8.5,14.95,1,0,11
112,2080,0,0,165,12/6/2013,12/7/2013,1,17564,IT joke mug - that behavior is by design (Black),Each,1,13,15,13,1.95,8.5,14.95,1,0,11
113,260,0,0,203,12/9/2013,12/10/2013,94,17658,DBA joke mug - mind if I join you? (Black),Each,1,13,15,13,1.95,8.5,14.95,1,0,11
114,2995,0,0,198,12/12/2013,12/13/2013,1,17838,DBA joke mug - it depends (White),Each,1,13,15,13,1.95,8.5,14.95,1,0,11
115,260,0,0,193,12/21/2013,12/22/2013,81,18254,DBA joke mug - SELECT caffeine FROM mug (Black),Each,1,13,15,13,1.95,8.5,14.95,1,0,11
116,3380,0,0,176,12/27/2013,12/28/2013,91,18590,Developer joke mug - there are 10 types of people in the world (White),Each,1,13,15,13,1.95,8.5,14.95,1,0,11
117,1055,0,0,187,12/30/2013,12/31/2013,94,18628,Developer joke mug - that's a hardware problem (Black),Each,1,13,15,13,1.95,8.5,14.95,1,0,11
118,3380,0,0,216,10/22/2013,10/23/2013,9,15226,USB food flash drive - sushi roll,Each,6,32,15,192,28.8,120,220.8,6,0,11
119,3380,0,0,97,10/22/2013,10/23/2013,9,15226,Ogre battery-powered slippers (Green) M,Each,6,32,15,192,28.8,144,220.8,6,0,11
120,2587,0,0,49,10/22/2013,10/23/2013,4,15218,32 mm Anti static bubble wrap (Blue) 10m,Each,80,32,15,2560,384,1280,2944,80,0,11
121,1198,0,0,49,10/23/2013,10/24/2013,81,15281,32 mm Anti static bubble wrap (Blue) 10m,Each,90,32,15,2880,432,1440,3312,90,0,11
122,464,0,0,214,10/23/2013,10/24/2013,85,15267,USB food flash drive - hot dog,Each,5,32,15,160,24,100,184,5,0,11
123,1198,0,0,83,10/24/2013,10/25/2013,19,15295,Animal with big feet slippers (Brown) XL,Each,6,32,15,192,28.8,141,220.8,6,0,11
124,1198,0,0,215,10/24/2013,10/25/2013,19,15295,USB food flash drive - hamburger,Each,3,32,15,96,14.4,60,110.4,3,0,11
125,2080,0,0,206,10/24/2013,10/25/2013,9,15352,USB food flash drive - fortune cookie,Each,2,32,15,64,9.6,40,73.6,2,0,11
126,3369,0,0,87,10/26/2013,10/27/2013,1,15487,Furry gorilla with big eyes slippers (Black) XL,Each,10,32,15,320,48,235,368,10,0,11
127,3166,0,0,209,10/28/2013,10/29/2013,70,15525,USB food flash drive - cookie,Each,10,32,15,320,48,200,368,10,0,11
128,3166,0,0,89,10/28/2013,10/29/2013,70,15525,Furry gorilla with big eyes slippers (Black) M,Each,6,32,15,192,28.8,144,220.8,6,0,11
129,3104,0,0,49,10/31/2013,11/1/2013,81,15732,32 mm Anti static bubble wrap (Blue) 10m,Each,100,32,15,3200,480,1600,3680,100,0,11
130,1398,0,0,98,11/5/2013,11/6/2013,74,15925,Ogre battery-powered slippers (Green) S,Each,6,32,15,192,28.8,144,220.8,6,0,11
131,859,0,0,215,11/5/2013,11/6/2013,9,15934,USB food flash drive - hamburger,Each,2,32,15,64,9.6,40,73.6,2,0,11
132,3166,0,0,88,11/6/2013,11/7/2013,4,15992,Furry gorilla with big eyes slippers (Black) L,Each,10,32,15,320,48,240,368,10,0,11
133,3104,0,0,83,11/8/2013,11/9/2013,74,16100,Animal with big feet slippers (Brown) XL,Each,6,32,15,192,28.8,141,220.8,6,0,11
134,2094,0,0,90,11/9/2013,11/10/2013,9,16149,Furry gorilla with big eyes slippers (Black) S,Each,5,32,15,160,24,120,184,5,0,11
135,2465,0,0,95,11/14/2013,11/15/2013,89,16355,Ogre battery-powered slippers (Green) XL,Each,10,32,15,320,48,235,368,10,0,11
136,126,0,0,99,11/19/2013,11/20/2013,74,16627,Dinosaur battery-powered slippers (Green) XL,Each,5,32,15,160,24,117.5,184,5,0,11
137,464,0,0,49,11/19/2013,11/20/2013,89,16652,32 mm Anti static bubble wrap (Blue) 10m,Each,10,32,15,320,48,160,368,10,0,11
138,28,0,0,84,11/19/2013,11/20/2013,9,16631,Animal with big feet slippers (Brown) L,Each,10,32,15,320,48,240,368,10,0,11
139,3166,0,0,88,11/21/2013,11/22/2013,74,16777,Furry gorilla with big eyes slippers (Black) L,Each,6,32,15,192,28.8,144,220.8,6,0,11
140,859,0,0,216,11/22/2013,11/23/2013,89,16873,USB food flash drive - sushi roll,Each,10,32,15,320,48,200,368,10,0,11
141,126,0,0,97,11/23/2013,11/24/2013,9,16879,Ogre battery-powered slippers (Green) M,Each,2,32,15,64,9.6,48,73.6,2,0,11
142,3104,0,0,95,11/27/2013,11/28/2013,74,17096,Ogre battery-powered slippers (Green) XL,Each,7,32,15,224,33.6,164.5,257.6,7,0,11
143,3104,0,0,84,11/28/2013,11/29/2013,93,17124,Animal with big feet slippers (Brown) L,Each,5,32,15,160,24,120,184,5,0,11
144,2995,0,0,90,11/28/2013,11/29/2013,19,17112,Furry gorilla with big eyes slippers (Black) S,Each,3,32,15,96,14.4,72,110.4,3,0,11
145,260,0,0,49,11/28/2013,11/29/2013,90,17188,32 mm Anti static bubble wrap (Blue) 10m,Each,60,32,15,1920,288,960,2208,60,0,11
146,126,0,0,98,12/3/2013,12/4/2013,19,17371,Ogre battery-powered slippers (Green) S,Each,5,32,15,160,24,120,184,5,0,11
147,2995,0,0,94,12/3/2013,12/4/2013,9,17386,Plush shark slippers (Gray) S,Each,10,32,15,320,48,240,368,10,0,11
148,2995,0,0,206,12/3/2013,12/4/2013,9,17386,USB food flash drive - fortune cookie,Each,3,32,15,96,14.4,60,110.4,3,0,11
149,859,0,0,99,12/4/2013,12/5/2013,96,17443,Dinosaur battery-powered slippers (Green) XL,Each,10,32,15,320,48,235,368,10,0,11
150,464,0,0,98,12/4/2013,12/5/2013,9,17469,Ogre battery-powered slippers (Green) S,Each,3,32,15,96,14.4,72,110.4,3,0,11
151,2080,0,0,213,12/6/2013,12/7/2013,1,17564,USB food flash drive - pizza slice,Each,5,32,15,160,24,100,184,5,0,11
152,126,0,0,102,12/7/2013,12/8/2013,4,17639,Dinosaur battery-powered slippers (Green) S,Each,2,32,15,64,9.6,48,73.6,2,0,11
153,127,0,0,209,12/10/2013,12/11/2013,90,17755,USB food flash drive - cookie,Each,10,32,15,320,48,200,368,10,0,11
154,2587,0,0,215,12/10/2013,12/11/2013,97,17764,USB food flash drive - hamburger,Each,5,32,15,160,24,100,184,5,0,11
155,2587,0,0,94,12/10/2013,12/11/2013,97,17764,Plush shark slippers (Gray) S,Each,3,32,15,96,14.4,72,110.4,3,0,11
156,2080,0,0,211,12/16/2013,12/17/2013,91,17961,USB food flash drive - banana,Each,7,32,15,224,33.6,140,257.6,7,0,11
157,2080,0,0,84,12/16/2013,12/17/2013,91,17961,Animal with big feet slippers (Brown) L,Each,7,32,15,224,33.6,168,257.6,7,0,11
158,2995,0,0,89,12/17/2013,12/18/2013,9,18016,Furry gorilla with big eyes slippers (Black) M,Each,2,32,15,64,9.6,48,73.6,2,0,11
159,2465,0,0,214,12/19/2013,12/20/2013,1,18131,USB food flash drive - hot dog,Each,3,32,15,96,14.4,60,110.4,3,0,11
160,28,0,0,215,12/19/2013,12/20/2013,81,18135,USB food flash drive - hamburger,Each,2,32,15,64,9.6,40,73.6,2,0,11
161,28,0,0,86,12/19/2013,12/20/2013,81,18135,Animal with big feet slippers (Brown) S,Each,7,32,15,224,33.6,168,257.6,7,0,11
162,3242,0,0,215,12/20/2013,12/21/2013,91,18222,USB food flash drive - hamburger,Each,2,32,15,64,9.6,40,73.6,2,0,11
163,3242,0,0,92,12/20/2013,12/21/2013,91,18222,Plush shark slippers (Gray) L,Each,3,32,15,96,14.4,72,110.4,3,0,11
164,2995,0,0,101,12/23/2013,12/24/2013,94,18319,Dinosaur battery-powered slippers (Green) M,Each,5,32,15,160,24,120,184,5,0,11
165,3155,0,0,100,12/25/2013,12/26/2013,81,18463,Dinosaur battery-powered slippers (Green) L,Each,2,32,15,64,9.6,48,73.6,2,0,11
166,2587,0,0,89,12/27/2013,12/28/2013,4,18575,Furry gorilla with big eyes slippers (Black) M,Each,10,32,15,320,48,240,368,10,0,11
167,464,0,0,86,12/27/2013,12/28/2013,93,18576,Animal with big feet slippers (Brown) S,Each,7,32,15,224,33.6,168,257.6,7,0,11
168,3104,0,0,211,12/27/2013,12/28/2013,97,18580,USB food flash drive - banana,Each,5,32,15,160,24,100,184,5,0,11
169,28,0,0,90,12/27/2013,12/28/2013,97,18582,Furry gorilla with big eyes slippers (Black) S,Each,10,32,15,320,48,240,368,10,0,11
170,3242,0,0,99,12/27/2013,12/28/2013,93,18565,Dinosaur battery-powered slippers (Green) XL,Each,6,32,15,192,28.8,141,220.8,6,0,11
171,1055,0,0,213,12/30/2013,12/31/2013,94,18628,USB food flash drive - pizza slice,Each,5,32,15,160,24,100,184,5,0,11
172,2261,0,0,91,12/31/2013,1/1/2014,97,18734,Plush shark slippers (Gray) XL,Each,2,32,15,64,9.6,47,73.6,2,0,11
173,859,0,0,211,11/5/2013,11/6/2013,9,15934,USB food flash drive - banana,Each,8,32,15,256,38.4,160,294.4,8,0,11
174,3381,0,0,209,11/21/2013,11/22/2013,81,16815,USB food flash drive - cookie,Each,8,32,15,256,38.4,160,294.4,8,0,11
175,859,0,0,97,11/22/2013,11/23/2013,4,16855,Ogre battery-powered slippers (Green) M,Each,8,32,15,256,38.4,192,294.4,8,0,11
176,127,0,0,207,11/29/2013,11/30/2013,90,17236,USB food flash drive - shrimp cocktail,Each,8,32,15,256,38.4,160,294.4,8,0,11
177,3242,0,0,207,12/3/2013,12/4/2013,19,17418,USB food flash drive - shrimp cocktail,Each,8,32,15,256,38.4,160,294.4,8,0,11
178,2094,0,0,215,12/5/2013,12/6/2013,90,17527,USB food flash drive - hamburger,Each,8,32,15,256,38.4,160,294.4,8,0,11
179,126,0,0,97,12/7/2013,12/8/2013,4,17639,Ogre battery-powered slippers (Green) M,Each,8,32,15,256,38.4,192,294.4,8,0,11
